Dist Km,Cod. T.Cultivo,Dosis Madurante,TCHM,TAHM,%Sac.Muestreadora,%ATR,%AR Jugo,%ME Veg,%ME Tot,Lluvias (2 Meses Ant.),Lluvias tres a seis,Lluvias seis a nueve
2.2,2.0,0.0,10.796699,0.880266,9.6396,10.8204,0.9696,9.0702,9.1811,243.0,178.0,361.0
2.2,2.0,0.0,13.177804,1.032964,9.2674,10.4072,1.0126,10.8869,11.4644,210.0,218.0,296.0
1.8,2.0,0.0,13.470714,1.093829,9.678,10.7318,1.037,8.0824,8.5335,212.0,168.0,321.0
1.8,2.0,0.0,12.20637,1.047758,10.311,11.3215,1.03,9.16,9.16,284.0,182.0,418.0
1.8,2.0,0.0,9.408677,0.787897,9.8496,11.0051,1.0095,10.8733,10.9431,348.0,185.0,497.0
4.5,2.0,0.0,13.504838,1.064934,9.4449,10.5031,1.1027,9.0409,9.3915,0.0,0.0,0.0
7.0,2.0,0.0,11.304468,0.983505,10.3372,11.3557,1.0163,9.0843,9.1141,83.0,181.0,272.0
5.5,2.0,0.0,13.583533,1.170553,10.0172,11.2081,1.0029,9.6275,10.5013,83.0,196.0,273.0
8.7,1.0,0.0,6.487682,0.589085,12.58285,12.18,0.829615549662488,8.1407,8.728247772511848,0.0,0.0,0.0
2.2,2.0,0.0,12.771396,1.068124,9.5477,10.7414,0.8482,8.7128,9.4501,226.0,168.0,321.0
1.8,2.0,0.0,13.069775,1.098019,9.618,11.125,0.97,10.706,10.829,305.0,182.0,418.0
1.8,2.0,0.0,8.187938,0.713582,10.024,11.1972,0.783,7.33,8.951,275.0,174.0,350.0
1.8,2.0,0.0,11.702156,1.002348,9.857,11.1687,0.98,9.268,10.139,275.0,191.0,362.0
1.8,2.0,0.0,9.95715,0.83732,10.0818,11.1169,1.1222,8.0049,8.2729,293.0,196.0,394.0
1.8,2.0,0.0,9.491109,0.779673,10.2571,10.9898,1.2284,8.626,9.4847,293.0,212.0,422.0
7.0,2.0,0.0,10.34327,0.832768,9.369,10.6718,1.01,12.574,12.945,101.0,82.0,316.0
