Período,Ton.Azucar,%ATR,KATRHM,M3 Riego,Radiacion Solar Ciclo,Evaporacion 0-3,Evaporacion Ciclo
202202,165.716,10.8204,1168.246107,263501.46,422.141,420.8,1744.2
202202,80.676,10.4072,1371.440496,61068.3,422.141,420.8,1744.2
202202,170.161,10.7318,1445.650162,161373.6,423.395,421.7,1716.2
202202,14.688,11.3215,1381.944197,13203.0,422.446,423.4,1765.5
202202,192.983,11.0051,1035.43436,248716.5,422.965,420.0,1719.1
202202,152.183,10.5031,1418.426663,151534.2,428.566,406.4,1730.6
202202,113.674,11.3557,1283.701538,61000.2,449.711,488.7,2016.4
202202,152.178,11.2081,1522.456027,64930.74,449.852,488.2,1999.4
202202,38.43,12.18,790.199734,0.0,416.254,405.2,1927.6
202202,83.185,10.7414,1371.826819,47066.4,422.991,421.7,1719.0
202202,82.184,11.125,1454.012492,120584.7,422.056,423.4,1768.3
202202,81.144,11.1972,916.819885,126427.92,422.056,418.8,1778.2
202202,94.967,11.1687,1306.978792,68022.9,421.596,422.8,1794.2
202202,148.511,11.1169,1106.926451,131495.58,422.16,424.3,1763.9
202202,271.685,10.9898,1043.053914,350298.3,422.045,420.4,1734.0
202202,29.5,10.6718,1103.813098,28756.8,450.812,493.5,1853.3
202202,46.238,12.068,1454.378062,0.0,449.735,492.6,2033.1
202202,81.465,13.0,1214.955614,0.0,437.565,462.7,2477.5
202202,20.62,12.69,948.062054,0.0,415.999,406.4,1935.2
202202,77.604,10.0816,1011.845412,112349.7,422.254,420.0,1724.7
202202,140.203,10.3567,1284.515486,123579.78,421.305,420.4,1753.7
202202,47.613,9.458,1130.865133,52301.46,421.385,423.7,1793.4
202202,51.862,10.102,1038.664093,105154.2,422.469,428.6,2347.2
202202,95.563,11.0487,1112.997213,70462.32,421.401,420.6,1740.4
202202,82.741,12.2485,1683.353622,116060.64,449.552,492.6,2036.7
202202,90.122,10.938,1218.924292,46688.82,449.825,496.6,2098.7
202202,75.251,12.58,1586.077694,59540.4,424.589,406.7,1547.1
202203,119.358,9.5271,1135.956415,247157.7,421.989,419.5,1732.6
202203,54.178,12.97,2248.267643,46477.2,422.483,426.2,1937.5
202203,57.437,9.8825,1193.163416,82717.92,421.926,422.2,2096.2
202203,28.104,12.3211,1330.61668,20136.6,422.196,429.4,1950.6
202203,91.884,13.785,1047.054921,62152.14,449.258,488.8,1995.5
202203,34.415,13.0797,1367.546273,43327.68,450.061,512.8,2321.3
202203,0.0,13.420150826067003,1318.7037628891694,71427.72,451.126,521.2,1466.9
202203,160.808,12.65,1596.096252,75037.2,441.859,439.8,1750.6
202203,117.174,12.6693,1607.747411,0.0,435.109,419.4,1917.5
202203,24.671,10.7169,1215.767316,15437.4,424.855,460.7,2547.5
202203,125.464,10.075,1064.048956,133625.94,422.206,424.0,1728.8
202203,153.508,12.3629,1576.254982,82861.26,427.667,409.9,1743.3
202203,38.568,13.12,1267.955221,14171.4,421.844,428.0,1979.7
202203,186.994,10.7152,1410.410684,64344.47,449.185,496.6,2111.4
202203,85.48,12.6326,1431.745366,49534.5,449.302,488.8,1956.9
202203,283.26,13.3758,1562.142563,106491.9,435.038,433.6,2009.4
