Cod. T.Cultivo,Dosis Madurante,TCHM,TAHM,Sac.Caña Precosecha,%Sac.Caña,%Sac.Muestreadora,%ATR,%AR Jugo,Lluvias (2 Meses Ant.)
1.0,1.0,9.461228,1.119567,16.8172,13.7582,13.508,15.1653,0.84,258.0
1.0,0.0,8.419488,0.911781,7.802876075066487,12.843,12.551,14.041,0.55,0.0
1.0,1.1,14.151549,1.430974,14.7749,11.9364,11.94,13.1236,0.61,246.0
1.0,0.0,13.972469,1.314947,7.802876075066487,11.277,10.931,12.482,0.67,0.0
1.0,0.0,9.806455,0.81379,16.7662,10.216,10.294,11.603,0.95,138.0
1.0,1.0,12.505545,1.469974,16.8543,13.5645,13.7675,14.7322,0.4757,0.0
1.0,1.3,7.690985,0.854734,17.5859,12.8348,12.9088,14.0451,0.533,235.0
1.0,1.1,11.916982,1.291675,17.7578,12.4903,12.899,13.677,0.52,246.0
1.0,0.0,9.503194,0.947283,7.802876075066487,11.802,12.196,13.27,0.86,0.0
1.0,0.0,9.673712,0.958057,7.802876075066487,11.606,12.111,13.019,0.84,0.0
1.0,0.0,14.670247,1.422789,17.5526,11.438,11.5939,12.745,0.8011,131.0
1.0,0.0,8.46937,0.812114,17.8474,11.3169,11.4909,12.5942,0.747,170.0
1.0,0.0,10.079681,0.930625,7.802876075066487,10.911,10.932,12.206,0.72,0.0
1.0,0.0,12.307772,1.11509,7.802876075066487,10.8774,11.0023,12.266,0.85,0.0
1.0,0.0,10.218814,0.868953,7.802876075066487,10.237,10.706,11.674,0.91,0.0
1.0,0.0,8.352561,0.651978,7.802876075066487,9.389,9.404,10.664,0.78,0.0
1.0,0.0,9.960387,0.730816,0.0,9.0562,9.64,10.6656,1.03,138.0
1.0,1.2,9.975379,1.136079,16.4069,13.3901,13.294,14.6561,0.62,152.0
1.0,1.0,10.27578,1.182595,16.8172,13.203,13.3858,14.4644,0.4796,258.0
1.0,1.0,8.73891,1.004358,15.109,13.1082,13.3246,14.3448,0.5147,0.0
1.0,1.1,12.289265,1.26598,15.6641,11.9051,12.5218,13.1875,0.5388,246.0
1.0,0.0,8.729468,0.874235,7.802876075066487,11.6737,11.9756,12.8443,0.4943,0.0
1.0,0.0,17.344476,1.628624,17.794,10.9263,11.3911,12.2242,0.7121,145.0
1.0,1.0,12.543276,1.055061,15.2726,10.072,9.7802,11.3997,0.849,258.0
1.0,0.0,14.15981,1.0878205,0.0,12.32020206531247,13.0494,13.7531,0.7,139.0
1.0,0.8,11.27949,1.22784,14.117,12.4852,13.0302,13.7715,0.5425,201.0
1.0,0.8,8.869183,0.884064,14.8577,11.6083,12.1561,12.9268,0.5672,217.0
1.0,1.2,10.293621,0.938695,16.9791,10.6464,11.2805,12.0563,0.7834,248.0
1.0,1.1,9.535182,1.069179,16.9952,12.8785,13.179,14.1711,0.6,0.0
1.0,0.8,7.707891,0.862644,17.4935,12.8654,13.1411,14.2556,0.6169,202.0
1.0,0.8,11.898875,1.266064,16.0729,12.2855,12.7285,13.5993,0.5645,151.0
1.0,1.1,10.83429,1.151066,16.8511,12.2319,12.258,13.4177,0.4914,0.0
1.0,0.0,4.566032,0.396277,0.0,10.233,9.981,11.473,0.66,0.0
1.0,0.0,9.196732,0.720253,0.0,9.558,9.73,10.888,0.735,156.0
1.0,0.0,14.29549,1.085766,0.0,9.299,9.353,10.57,0.68,156.0
1.0,1.0,11.976585,1.388728,17.0682,13.2029,13.4195,14.412,0.4887,175.0
1.0,0.0,9.763874,1.032328,15.9753,12.1667,12.5273,13.4147,0.5866,0.0
1.0,2.0,8.827197,0.898245,16.9033,11.805,12.4054,13.2023,0.7676,216.0
1.0,0.0,10.777295,1.011706,0.0,11.0063,11.2342,12.4013,0.7177,108.0
1.0,0.0,11.281791,0.974746,0.0,10.21,13.0494,11.48,0.7,0.0
1.0,1.0,12.000214,1.257215,17.2361,12.0518,12.2575,13.2623,0.5531,0.0
1.0,1.0,11.096592,1.133995,18.6022,11.7939,11.74,13.0485,0.6022,175.0
1.0,2.0,9.128309,0.926461,17.2136,11.7224,12.2182,12.9645,0.6012,216.0
1.0,0.0,9.518959,0.951738,16.9937,11.462,11.6437,12.6636,0.5958,0.0
