Período,Edad Ult Cos,Ton.Azucar,Edad.Precosecha,%Sac.Caña,%ATR,KATRHM,Luvias 9 -FC
201701,12.81,86.05,12.09,13.7582,15.1653,1434.823641,482.0
201701,11.14,14.728,12.09,12.843,14.041,1182.180399,0.0
201701,12.32,145.268,12.02,11.9364,13.1236,1857.192723,457.0
201701,9.79,13.517,12.09,11.277,12.482,1744.04364,0.0
201701,11.53,42.505,12.09,10.216,11.603,1137.843039,284.0
201704,13.04,124.595,11.89,13.5645,14.7322,1842.34191,289.0
201701,15.67,203.852,10.87,12.8348,14.0451,1080.206577,518.0
201701,12.32,105.347,11.99,12.4903,13.677,1629.885653,457.0
201701,12.22,7.177,12.09,11.802,13.27,1261.07386,0.0
201701,12.12,18.927,12.09,11.606,13.019,1259.420665,0.0
201701,14.0,173.495,10.51,11.438,12.745,1869.723064,289.0
201701,14.92,159.214,12.09,11.3169,12.5942,1066.649508,481.0
201701,12.55,10.745,12.09,10.911,12.206,1230.325896,0.0
201701,11.01,21.485,12.09,10.8774,12.266,1509.671332,0.0
201701,11.3,14.336,12.09,10.237,11.674,1192.944393,0.0
201701,10.81,18.395,12.09,9.389,10.664,890.717137,0.0
201701,9.99,8.542,12.09,9.0562,10.6656,1062.335114,44.0
201701,13.04,11.259,12.09,13.3901,14.6561,1462.00158,357.0
201701,12.88,122.007,11.76,13.203,14.4644,1486.330074,482.0
201701,12.98,89.822,11.89,13.1082,14.3448,1253.579246,289.0
201701,12.39,156.855,12.02,11.9051,13.1875,1620.646892,457.0
201701,13.5,10.858,12.09,11.6737,12.8443,1121.239135,0.0
201701,13.21,144.575,12.16,10.9263,12.2242,2120.223506,295.0
201701,12.94,54.61,11.83,10.072,11.3997,1429.895909,482.0
201701,8.67,93.7365,12.09,12.32020206531247,13.7531,1383.492899,5.0
201701,12.94,238.006,12.55,12.4852,13.7715,1553.355052,423.0
201701,13.11,139.081,12.45,11.6083,12.9268,1146.501655,579.0
201701,12.98,67.379,12.52,10.6464,12.0563,1241.02993,497.0
201701,12.06,45.259,10.18,12.8785,14.1711,1351.240259,0.0
201701,13.14,177.055,12.45,12.8654,14.2556,1098.806135,579.0
201701,12.94,177.918,12.52,12.2855,13.5993,1618.163837,327.0
201701,12.06,126.325,10.18,12.2319,13.4177,1453.712541,0.0
201701,12.09,14.373,12.09,10.233,11.473,523.860912,0.0
201701,8.64,5.414,12.09,9.558,10.888,1001.340251,0.0
201701,9.59,6.664,12.09,9.299,10.57,1511.033302,18.0
201701,13.24,291.614,11.33,13.2029,14.412,1726.065451,466.0
201701,13.11,184.872,12.45,12.1667,13.4147,1309.794448,0.0
201701,14.09,75.558,13.54,11.805,13.2023,1165.393063,588.0
201701,13.27,155.197,12.09,11.0063,12.4013,1336.524696,108.0
201701,14.82,105.165,12.09,10.21,11.48,1295.149693,0.0
201701,14.13,483.371,12.75,12.0518,13.2623,1591.504423,0.0
201701,13.31,173.575,11.37,11.7939,13.0485,1447.938931,466.0
201701,13.6,208.528,12.09,11.7224,12.9645,1183.439741,588.0
201701,13.08,163.452,12.39,11.462,12.6636,1205.44302,0.0
201701,15.18,142.703,12.09,10.81,12.35,1136.767852,0.0
201701,12.02,412.049,12.09,12.7359,13.9425,1587.40608,0.0
201701,13.11,429.717,12.45,12.2138,13.5196,1787.642874,0.0
201701,13.08,170.556,12.35,12.1648,13.359,1284.370695,0.0
201701,12.88,13.868,10.97,11.273,12.681,1856.963005,413.0
201701,12.06,229.898,10.64,11.071,12.2787,1195.053755,0.0
201701,13.96,100.641,12.29,10.56,11.91,1397.311385,0.0
201701,12.98,161.054,11.3,10.54,12.05,1405.807437,538.0
201701,12.09,101.233,11.24,12.3254,13.5725,1323.977394,0.0
201701,12.85,160.914,12.09,12.3176,13.5214,1255.130023,0.0
201701,13.7,168.079,12.09,11.7511,13.0027,1218.363285,591.0
201701,14.06,162.181,12.62,11.5709,12.7165,1564.082144,0.0
201701,12.58,22.054,11.99,11.0117,12.3539,1686.270379,315.0
201701,14.13,116.51,12.68,10.7696,12.0449,2122.326609,0.0
201701,15.8,97.395,12.09,10.26,11.72,1030.88712,0.0
201701,12.16,94.736,11.3,13.0542,14.3177,1769.588938,0.0
201701,12.65,312.49,12.06,11.971,13.2147,1405.370448,507.0
201701,12.12,170.746,10.64,11.2031,12.437,1474.439494,0.0
201701,12.06,231.598,11.24,12.4746,13.8154,1700.271846,295.0
201701,13.27,209.846,12.42,12.1141,13.4462,1765.637038,581.0
201701,12.29,53.236,11.47,11.111,12.398,1343.519547,358.0
201701,12.39,114.395,12.09,10.02,11.74,984.699148,0.0
201701,12.29,89.25,11.6,11.9704,13.2111,1312.958063,358.0
201701,12.12,185.463,11.27,11.8906,13.1276,1509.063806,211.0
201701,12.02,163.653,11.33,11.7736,13.1037,1834.182462,518.0
201701,13.54,312.667,11.43,11.416,12.6583,1818.067503,497.0
201701,12.48,82.142,11.79,11.3124,12.5596,1300.930903,325.0
201701,13.08,154.585,12.09,11.0744,12.4942,1539.500677,398.0
201701,12.09,257.783,11.2,11.7735,12.9692,1900.190307,195.0
201701,13.83,385.976,12.45,11.073,12.508,1857.914751,482.0
201701,13.54,19.986,11.7,10.532,12.085,1948.976199,477.0
201701,11.33,214.423,10.94,10.3822,11.5761,2354.433984,0.0
201701,14.13,321.822,13.31,12.5259,13.8126,1200.127305,675.0
201701,13.11,303.715,12.35,11.907,13.1815,1658.396146,0.0
201701,13.14,262.059,12.09,11.7641,13.0106,1594.734722,0.0
201701,12.16,137.957,11.24,11.3591,12.6501,1495.938461,211.0
201701,12.85,66.73,10.97,10.95,12.43,1436.794858,362.0
201701,11.7,43.383,12.09,10.2287,11.5185,999.887089,238.0
201701,13.54,65.101,11.66,9.5481,10.855,1586.952741,683.0
201701,11.86,173.694,10.45,12.8868,14.0948,1536.124921,379.0
201701,11.89,47.887,12.09,12.03,13.57,1491.418488,200.0
201701,14.19,53.058,12.29,12.03,13.57,1365.127264,475.0
201701,12.19,331.824,10.51,11.9041,13.2219,1382.229045,378.0
201701,11.83,127.445,10.41,11.6067,12.7869,1392.00232,379.0
201701,12.09,125.068,11.2,11.274,12.433,1854.542976,703.0
201701,13.11,338.145,12.02,11.0568,12.2982,1745.822151,264.0
201701,11.7,16.448,12.09,10.272,11.419,800.433284,238.0
201701,11.73,47.179,12.09,10.071,11.32,877.924599,238.0
201701,12.85,296.624,10.91,11.96,13.37,1558.88231,378.0
201701,13.31,40.276,11.14,11.7858,13.0434,1605.930834,359.0
201701,12.78,261.578,12.09,11.7774,12.8993,1296.415556,0.0
201701,12.39,131.404,11.6,11.7214,12.9409,1422.919897,0.0
201701,12.25,38.212,11.47,11.607,12.706,1307.109612,0.0
201701,12.39,190.57,10.84,11.5993,12.9494,1417.024738,433.0
201701,14.23,49.453,12.29,11.2,12.5,1266.489308,475.0
201701,13.11,171.563,12.22,11.0985,12.3791,1392.239633,604.0
201701,12.81,74.987,10.87,11.08,12.44,1465.661476,362.0
201701,12.39,57.165,11.27,10.505,11.777,811.609535,1110.0
201701,12.42,19.123,11.3,10.431,11.782,1114.74371,1118.0
201701,13.6,46.3,11.66,10.0533,11.3185,1520.368609,683.0
201701,14.23,76.369,12.29,9.97,11.58,1564.574397,475.0
201701,11.86,7.088,10.41,9.308,10.787,1710.840399,379.0
201701,11.93,28.204,10.48,9.182,10.5,1604.284066,0.0
201701,12.65,178.316,11.76,12.533,13.7162,1575.714385,0.0
201701,12.02,94.019,10.81,12.3241,13.6191,1605.432719,1048.0
201701,12.45,142.711,10.87,12.1254,13.2636,1292.41392,443.0
201701,12.35,67.108,11.53,12.089,13.495,1448.160203,0.0
201701,12.29,26.551,11.47,11.1549,12.3313,1366.349578,0.0
201701,12.16,154.56,11.33,10.8027,12.0243,1415.493057,444.0
201701,12.39,58.47,11.56,10.7444,12.1285,1467.284382,0.0
201701,11.96,31.072,10.81,10.545,11.9604,726.094969,515.0
201701,7.79,68.162,12.09,10.089,11.327,1042.125469,0.0
201701,12.39,47.193,10.25,9.846,11.095,1021.528022,0.0
201701,13.37,264.176,12.42,13.2579,14.4004,1808.040894,582.0
201701,14.0,52.36,13.04,12.367,13.696,1509.65584,613.0
201701,12.85,106.311,11.99,12.1005,13.3314,1703.500785,533.0
201701,12.06,229.074,10.45,11.8089,13.0369,1457.754436,0.0
201701,12.78,77.992,11.86,11.778,13.018,1477.662809,0.0
201701,12.19,52.504,12.09,11.6862,12.93,1381.807567,0.0
201701,12.22,257.902,11.37,11.6276,12.9177,1611.081068,444.0
201701,12.65,58.046,11.5,11.55,12.906,1596.110426,393.0
201701,12.42,105.829,10.81,11.4862,12.7107,1256.775105,433.0
201701,14.23,40.386,13.27,11.2956,12.4063,1215.228389,613.0
201701,12.68,78.708,11.76,11.2296,12.3776,1522.983216,0.0
201701,13.44,156.113,12.09,10.6327,12.1982,1319.850728,582.0
201701,12.75,4.16,11.83,10.014,10.936,571.386172,0.0
201701,13.08,56.59,11.5,11.834,13.033,1172.897919,0.0
201701,12.55,29.27,11.66,11.7302,12.9034,1121.508472,0.0
201701,12.39,107.708,11.5,10.9733,12.2113,1136.864151,0.0
201701,12.09,44.891,10.68,10.952,12.28,1602.340939,476.0
201701,14.42,97.912,12.39,10.1385,11.4326,1714.489809,0.0
201701,12.68,15.735,11.27,9.93,11.209,1323.460117,403.0
201701,12.12,11.878,10.71,9.395,10.692,1122.918091,298.0
201701,12.91,121.017,11.99,12.2809,13.4259,1596.791481,543.0
201701,14.36,362.756,13.37,12.1406,13.3816,1108.180653,675.0
201701,12.35,90.277,11.43,11.611,12.977,1353.933391,0.0
201701,14.78,288.719,13.6,11.123,12.3467,1580.171891,0.0
201701,12.02,48.413,10.58,10.7856,11.8888,1282.579141,314.0
201701,11.33,30.094,12.09,10.659,11.857,1516.623683,228.0
201701,14.78,38.112,13.6,10.601,11.8412,899.732443,0.0
201701,13.57,21.369,12.12,9.934,11.033,1503.240241,646.0
201701,13.17,26.036,11.73,9.778,11.207,1636.641733,418.0
201701,13.5,11.438,12.06,8.8311,10.307,1269.468787,737.0
201701,12.55,211.119,11.24,12.9162,14.0936,1429.930374,485.0
201701,11.79,211.917,12.09,11.4231,12.6069,1415.604681,0.0
201701,13.73,143.333,12.06,10.8172,12.0128,1318.555039,425.0
201701,13.9,51.338,11.07,13.5354,14.7694,1223.871066,709.0
201701,13.9,19.972,11.07,13.059,14.345,934.833033,0.0
201701,13.93,10.628,11.1,12.9854,14.2337,1289.955815,0.0
201701,15.67,54.803,12.85,12.883,13.9912,1171.419978,834.0
201701,12.09,58.314,10.78,12.208,13.566,1492.673991,0.0
201701,13.9,23.511,11.07,11.828,13.053,933.02207,709.0
201701,12.29,182.916,12.09,11.8163,13.098,1458.446764,528.0
201701,12.06,74.665,10.35,11.647,13.056,1294.732154,342.0
201701,12.09,178.649,10.38,11.4036,12.6233,1690.506112,342.0
201701,13.93,12.994,11.1,11.4033,12.7115,1165.288017,0.0
201701,10.09,27.115,12.09,10.789,11.796,1527.717964,0.0
201701,9.23,16.709,12.09,10.105,11.831,1140.566531,50.0
201701,10.18,9.913,12.09,9.341,10.723,1148.320529,115.0
201701,12.22,330.852,10.41,13.0534,14.2173,1494.398577,403.0
201701,15.7,219.602,12.85,12.5495,13.8491,1191.816378,834.0
201701,12.22,57.317,10.41,12.2738,13.5422,1654.366157,403.0
201701,12.12,78.526,10.32,12.2331,13.4569,1645.343372,318.0
201701,12.85,200.925,11.73,12.1044,13.3314,1570.863835,0.0
201701,12.12,25.081,10.32,11.9386,13.2072,1322.300069,0.0
201701,12.19,140.962,10.38,11.8118,13.0941,1408.101301,403.0
201701,12.22,69.367,10.87,11.1677,12.6038,1364.964723,0.0
201701,12.32,19.362,12.09,10.736,12.0418,1148.087019,528.0
201701,12.02,45.785,10.28,10.6479,12.4311,1393.709412,265.0
