NOME,FAZ,TAL,dosismad,semsmad,edad,cortes,vejez,sacarosa,mes,periodo,TCH,lluvias,grupo_tenencia,pct_diatrea,sacarosa_nivel,TCH_nivel
AMAIME SILCA,81291,40,0.8,8.3,12.3,4,2.4,14.0,12,202012,112,137,3,6.2,Alto,Bajo
AMAIME SILCA,81291,41,0.8,6.3,11.2,2,2.3,13.0,3,201903,157,0,3,3.5,Medio,Alto
AMAIME SILCA,81291,41,0.6,7.9,12.2,3,1.8,13.3,3,202003,167,68,3,4.3,Alto,Alto
AMAIME SILCA,81291,43,0.8,6.6,13.1,1,2.5,13.4,3,201903,156,0,3,3.5,Alto,Alto
AMAIME SILCA,81291,43,0.6,8.1,12.2,2,2.1,14.0,3,202003,151,68,3,4.3,Alto,Medio
ARANJUEZ,80552,1,1.2,7.6,12.8,1,12.3,12.8,1,201901,155,10,3,4.4,Medio,Alto
ARANJUEZ,80552,1,1.2,8.4,12.1,2,2.7,12.5,1,202001,115,8,3,4.4,Medio,Bajo
ARANJUEZ,80552,1,0.8,6.0,11.8,3,2.4,12.9,1,202101,146,134,3,4.4,Medio,Medio
ARANJUEZ,80552,2,1.2,8.9,12.2,2,12.5,12.6,1,202001,145,8,3,4.4,Medio,Medio
ARANJUEZ,80552,2,0.8,6.7,11.9,3,2.2,12.7,1,202101,138,119,3,4.4,Medio,Medio
ARANJUEZ,80552,3,1.2,7.7,12.4,1,4.1,12.5,1,201901,157,0,3,4.4,Medio,Alto
ARANJUEZ,80552,3,1.2,8.4,12.1,2,2.9,13.3,1,202001,116,8,3,4.4,Alto,Bajo
ARANJUEZ,80552,3,0.8,6.1,11.8,3,2.3,12.9,1,202101,155,134,3,4.4,Medio,Alto
ARANJUEZ,80552,4,1.2,8.7,12.1,2,8.3,12.3,1,202001,147,8,3,4.4,Bajo,Medio
ARANJUEZ,80552,4,0.8,7.0,12.0,3,2.9,12.7,1,202101,144,134,3,4.4,Medio,Medio
ARANJUEZ,80552,5,1.2,8.0,12.3,1,6.7,12.5,1,201901,147,0,3,4.4,Medio,Medio
ARANJUEZ,80552,5,1.2,8.6,12.0,2,2.0,13.3,1,202001,116,8,3,4.4,Alto,Bajo
ARANJUEZ,80552,5,0.8,6.3,11.8,3,2.2,13.1,1,202101,153,134,3,4.4,Medio,Medio
ARANJUEZ,80552,6,1.2,13.1,13.1,1,8.1,13.1,9,201709,151,0,3,7.7,Medio,Medio
ARANJUEZ,80552,6,0.8,9.3,12.0,4,3.5,12.9,9,202009,141,54,3,5.1,Medio,Medio
ARANJUEZ,80552,7,1.2,13.3,13.4,1,8.6,11.9,9,201709,139,0,3,7.7,Bajo,Medio
ARANJUEZ,80552,7,1.2,9.7,12.2,3,2.2,13.3,9,201909,152,0,3,3.7,Alto,Medio
ARANJUEZ,80552,7,0.8,9.4,11.7,4,2.3,13.7,9,202009,136,30,3,2.9,Alto,Medio
ARANJUEZ,80552,8,1.2,12.9,13.9,1,3.7,13.6,9,201709,138,0,3,11.0,Alto,Medio
ARANJUEZ,80552,8,1.2,8.1,11.9,3,8.2,12.9,9,201909,155,0,3,4.4,Medio,Alto
ARANJUEZ,80552,8,0.8,9.9,12.2,4,3.2,12.9,9,202009,130,54,3,1.3,Medio,Bajo
ARANJUEZ,80552,9,1.2,13.0,13.8,1,2.4,13.3,9,201709,155,0,3,7.7,Alto,Alto
ARANJUEZ,80552,9,1.0,7.7,11.8,2,2.3,12.6,9,201809,157,113,3,4.1,Medio,Alto
ARANJUEZ,80552,9,1.2,8.3,12.0,3,13.7,12.1,9,201909,150,0,3,3.7,Bajo,Medio
ARANJUEZ,80552,9,0.8,9.4,12.0,4,2.3,13.0,9,202009,127,54,3,1.9,Medio,Bajo
